dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,0,    1036.073898
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,1,    1010.322045
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,2,    1005.684038
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,3,    1006.662395
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,4,    1004.876947
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,5,    1004.226533
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,6,    1001.660403
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,7,    1006.692271
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,8,    1005.398835
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,9,    1007.666004
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,10,    1005.084096
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,11,    1004.276258
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,12,    1006.385173
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,13,    1006.598384
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,14,    1003.042972
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,15,    1001.703460
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,16,    1006.566271
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,17,    1005.698324
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,18,    1002.324618
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,19,    1005.231863
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,20,    1001.345487
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,21,    1007.274291
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,22,    1003.601956
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,23,    1009.677839
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,24,    1007.694913
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,25,    1003.971724
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,26,     999.805479
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,27,    1005.388168
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,28,    1003.975674
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",16,512,29,    1002.539815
