dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,0,   13266.980758
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,1,   13260.798980
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,2,   13275.213581
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,3,   13273.394521
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,4,   13269.068292
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,5,   13271.290747
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,6,   13274.982298
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,7,   13281.446745
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,8,   13271.515427
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,9,   13268.016410
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,10,   13277.827635
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,11,   13255.278025
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,12,   13269.551974
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,13,   13277.813513
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,14,   13274.897618
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,15,   13253.782632
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,16,   13262.005607
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,17,   13270.498570
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,18,   13264.619286
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,19,   13269.114260
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,20,   13268.455492
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,21,   13270.025962
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,22,   13268.693786
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,23,   13265.521656
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,24,   13278.310596
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,25,   13274.723041
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,26,   13261.207593
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,27,   13277.879960
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,28,   13267.664268
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",1,512,29,   13267.775855
