dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,0,   15955.649746
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,1,   15856.647259
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,2,   15893.127579
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,3,   15850.024516
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,4,   15903.411174
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,5,   15831.048276
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,6,   16004.671715
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,7,   16060.086839
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,8,   16085.477145
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,9,   15873.906594
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,10,   16157.480971
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,11,   15886.043332
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,12,   15863.213873
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,13,   16141.344118
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,14,   16187.335749
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,15,   15889.215340
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,16,   15863.285029
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,17,   15871.810467
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,18,   15861.834118
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,19,   15911.590803
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,20,   16014.125921
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,21,   15947.433644
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,22,   16004.004560
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,23,   15861.237383
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,24,   15995.588447
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,25,   16075.775880
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,26,   15986.811715
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,27,   16591.814596
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,28,   15963.395624
3,float,uniform,PoisFFT,"D | D | D | D | N | D",1,512,29,   16670.542100
