dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,0,     368.649214
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,1,     359.354347
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,2,     358.465107
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,3,     358.376431
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,4,     360.028972
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,5,     357.908797
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,6,     359.605079
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,7,     357.051419
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,8,     358.278959
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,9,     359.740340
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,10,     360.767771
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,11,     358.376690
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,12,     358.881292
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,13,     358.750988
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,14,     358.345969
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,15,     358.618670
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,16,     356.113284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,17,     359.762421
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,18,     358.544057
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,19,     356.740848
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,20,     360.612388
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,21,     359.301992
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,22,     358.907203
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,23,     359.737653
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,24,     357.451321
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,25,     358.056961
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,26,     355.298696
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,27,     359.007973
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,28,     358.157770
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",32,512,29,     356.756138
