dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,0,     675.903151
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,1,     676.696391
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,2,     666.260865
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,3,     687.104573
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,4,     673.889590
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,5,     685.392166
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,6,     680.477013
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,7,     689.385475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,8,     693.976215
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,9,     681.146879
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,10,     672.574779
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,11,     671.903371
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,12,     669.055546
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,13,     680.650675
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,14,     694.686296
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,15,     710.616118
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,16,     684.662522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,17,     691.591899
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,18,     692.179396
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,19,     679.335236
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,20,     686.482259
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,21,     679.979217
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,22,     690.803233
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,23,     692.109242
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,24,     692.312232
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,25,     702.277998
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,26,     693.812477
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,27,     685.910301
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,28,     699.539855
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",16,512,29,     701.649526
