dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,0,    5354.909997
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,1,    5175.759099
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,2,    5063.084981
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,3,    5061.616858
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,4,    5057.420101
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,5,    5058.116550
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,6,    5056.653791
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,7,    5056.943755
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,8,    5057.743412
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,9,    5057.484410
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,10,    5058.721124
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,11,    5054.182871
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,12,    5056.564488
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,13,    5056.069935
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,14,    5057.237000
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,15,    5057.579972
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,16,    5055.720429
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,17,    5055.435994
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,18,    5055.340709
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,19,    5056.547432
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,20,    5055.597852
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,21,    5055.401413
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,22,    5057.532968
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,23,    5057.550115
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,24,    5057.571317
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,25,    5055.318736
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,26,    5056.396295
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,27,    5056.226891
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,28,    5056.096025
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",4,512,29,    5054.747693
