dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,0,    1297.808194
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,1,    1291.376247
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,2,    1307.641429
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,3,    1316.327537
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,4,    1322.534327
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,5,    1251.140588
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,6,    1389.030636
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,7,    1299.372143
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,8,    1346.932386
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,9,    1395.525809
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,10,    1359.013079
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,11,    1416.824083
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,12,    1293.792105
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,13,    1357.556125
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,14,    1376.507262
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,15,    1341.458684
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,16,    1330.514489
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,17,    1339.013288
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,18,    1277.861005
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,19,    1334.812807
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,20,    1316.043377
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,21,    1341.122816
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,22,    1427.727757
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,23,    1416.326621
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,24,    1122.166763
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,25,    1285.489622
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,26,    1375.540501
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,27,    1346.784738
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,28,    1347.562430
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,29,    1372.599936
