dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,0,     618.616335
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,1,     621.641120
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,2,     612.895119
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,3,     618.980367
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,4,     615.446061
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,5,     612.729194
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,6,     610.719540
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,7,     614.664993
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,8,     614.584482
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,9,     608.838493
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,10,     609.801831
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,11,     613.242780
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,12,     614.044860
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,13,     612.098319
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,14,     615.955859
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,15,     616.709021
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,16,     616.594680
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,17,     612.095116
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,18,     610.647118
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,19,     616.331321
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,20,     605.282884
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,21,     606.525105
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,22,     604.860085
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,23,     611.712643
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,24,     608.018536
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,25,     608.441445
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,26,     608.799228
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,27,     610.686056
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,28,     611.636677
3,float,uniform,PoisFFT,"D | D | D | D | N | D",64,512,29,     610.616214
