dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,0,    1701.984517
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,1,    1721.959702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,2,    1733.378735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,3,    1704.908290
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,4,    1700.613175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,5,    1701.015401
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,6,    1698.802125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,7,    1715.880565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,8,    1698.477808
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,9,    1700.953162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,10,    1712.441131
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,11,    1705.657484
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,12,    1703.048097
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,13,    1724.309983
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,14,    1721.225868
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,15,    1717.592757
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,16,    1716.023474
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,17,    1711.571575
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,18,    1704.487013
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,19,    1712.543800
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,20,    1705.433302
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,21,    1719.903934
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,22,    1711.454691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,23,    1706.349070
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,24,    1699.802070
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,25,    1703.521915
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,26,    1704.979393
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,27,    1715.994974
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,28,    1709.178060
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",64,512,29,    1710.987783
