dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,0,    4463.853500
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,1,    4461.764625
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,2,    4589.114171
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,3,    4459.068753
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,4,    4560.330720
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,5,    4207.610635
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,6,    4125.300435
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,7,    4102.946842
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,8,    4068.760990
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,9,    4100.892702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,10,    4101.370026
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,11,    4102.098297
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,12,    4102.199033
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,13,    4083.469203
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,14,    4071.392533
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,15,    4081.121023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,16,    4083.362578
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,17,    4096.793602
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,18,    4094.852558
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,19,    4097.692098
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,20,    4084.700410
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,21,    4088.018748
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,22,    4094.631635
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,23,    4107.603094
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,24,    4096.966058
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,25,    4091.696005
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,26,    4102.559680
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,27,    4088.454311
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,28,    4093.212273
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,512,29,    4090.609537
