dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,0,    2449.257506
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,1,    2378.958627
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,2,    2367.426961
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,3,    2370.082663
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,4,    2363.394150
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,5,    2362.231276
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,6,    2365.757292
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,7,    2357.436890
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,8,    2363.827322
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,9,    2363.938407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,10,    2361.127982
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,11,    2362.738633
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,12,    2354.384228
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,13,    2363.182045
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,14,    2362.086479
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,15,    2351.816015
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,16,    2362.789445
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,17,    2356.482238
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,18,    2360.671093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,19,    2365.188941
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,20,    2362.730015
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,21,    2364.525421
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,22,    2355.666890
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,23,    2355.089801
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,24,    2359.350490
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,25,    2363.401156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,26,    2354.367243
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,27,    2352.708910
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,28,    2349.325101
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,512,29,    2356.173332
