dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,0,     636.467475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,1,     642.267160
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,2,     643.595183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,3,     659.135261
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,4,     635.321060
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,5,     631.831266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,6,     633.930077
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,7,     630.718875
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,8,     658.370782
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,9,     628.353917
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,10,     632.122771
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,11,     633.650228
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,12,     631.840728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,13,     648.836615
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,14,     648.509479
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,15,     716.756286
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,16,     622.573483
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,17,     707.107645
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,18,     684.801045
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,19,     574.786246
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,20,     547.406476
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,21,     530.295769
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,22,     541.304096
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,23,     541.128501
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,24,     555.706183
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,25,     545.891757
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,26,     546.855923
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,27,     550.761342
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,28,     573.539316
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,512,29,     545.737388
