dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,0,     628.573536
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,1,     603.251531
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,2,     611.473176
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,3,     605.266690
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,4,     610.624000
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,5,     605.496088
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,6,     607.195175
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,7,     607.119702
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,8,     605.347643
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,9,     604.676826
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,10,     604.745565
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,11,     603.844070
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,12,     603.532609
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,13,     608.017745
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,14,     604.185993
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,15,     604.646197
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,16,     604.600696
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,17,     608.774506
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,18,     605.489423
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,19,     604.956255
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,20,     607.672295
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,21,     602.831435
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,22,     602.758777
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,23,     604.908470
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,24,     606.454302
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,25,     604.982888
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,26,     609.679555
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,27,     605.544508
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,28,     605.734418
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",32,512,29,     605.555293
