dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,0,     682.947890
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,1,     693.622458
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,2,     741.766244
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,3,     711.872331
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,4,     726.487868
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,5,     696.083294
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,6,     721.172495
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,7,     706.207339
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,8,     696.357325
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,9,     675.770182
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,10,     718.450618
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,11,     715.221067
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,12,     729.966621
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,13,     721.880371
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,14,     729.861352
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,15,     703.526924
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,16,     691.066458
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,17,     715.296963
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,18,     688.342669
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,19,     724.761265
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,20,     699.290197
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,21,     706.618824
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,22,     675.826519
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,23,     706.209974
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,24,     712.760515
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,25,     720.412351
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,26,     713.686358
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,27,     707.302366
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,28,     728.926435
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",48,512,29,     685.385580
