dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,0,    1073.140553
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,1,    1070.830171
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,2,    1070.573550
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,3,    1069.069366
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,4,    1069.820498
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,5,    1069.585765
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,6,    1069.511563
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,7,    1069.247864
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,8,    1072.777760
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,9,    1070.621130
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,10,    1069.940209
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,11,    1069.335681
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,12,    1069.174466
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,13,    1069.156919
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,14,    1069.329631
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,15,    1069.450204
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,16,    1069.195871
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,17,    1072.932270
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,18,    1069.875522
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,19,    1069.647965
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,20,    1069.680640
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,21,    1069.474758
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,22,    1069.315606
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,23,    1069.213610
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,24,    1069.453098
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,25,    1069.314665
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,26,    1073.386411
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,27,    1071.732716
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,28,    1069.403777
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,512,29,    1069.367934
