dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,0,    5741.891925
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,1,    5698.505116
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,2,    5694.772361
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,3,    5699.727695
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,4,    5704.661343
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,5,    5701.393959
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,6,    5702.322975
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,7,    5696.421278
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,8,    5700.286897
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,9,    5692.445266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,10,    5702.468204
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,11,    5694.863339
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,12,    5691.515236
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,13,    5770.452317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,14,    5694.857039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,15,    5696.766392
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,16,    5692.453856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,17,    5700.086574
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,18,    5698.227634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,19,    5697.828598
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,20,    5698.168486
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,21,    5695.521831
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,22,    5698.193623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,23,    5905.715294
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,24,    5739.106609
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,25,    5856.873781
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,26,    5691.107725
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,27,    5703.855647
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,28,    5698.317161
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,512,29,    5705.797595
