dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,0,    1399.195009
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,1,    1379.773092
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,2,    1395.521705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,3,    1394.684536
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,4,    1374.556936
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,5,    1373.680137
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,6,    1377.866700
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,7,    1395.585805
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,8,    1377.046938
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,9,    1378.363378
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,10,    1380.841116
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,11,    1394.238965
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,12,    1394.016312
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,13,    1373.765736
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,14,    1390.846676
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,15,    1380.341217
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,16,    1381.765759
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,17,    1392.178176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,18,    1381.580776
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,19,    1380.119892
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,20,    1382.018244
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,21,    1381.363226
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,22,    1397.134975
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,23,    1374.834343
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,24,    1393.204514
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,25,    1396.167822
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,26,    1397.218199
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,27,    1381.428422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,28,    1385.623822
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,512,29,    1395.842922
