dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,0,    1321.778545
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,1,     706.664755
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,2,     664.563581
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,3,     682.975877
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,4,     707.213296
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,5,     711.349911
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,6,     637.607495
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,7,     607.700160
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,8,     650.979233
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,9,     667.451982
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,10,     664.541151
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,11,     603.728547
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,12,     685.327124
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,13,     579.212973
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,14,     687.460957
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,15,     651.762804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,16,     653.065445
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,17,     680.638382
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,18,     693.633529
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,19,     629.234621
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,20,     593.681811
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,21,     659.463744
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,22,     599.542147
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,23,     668.735977
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,24,     684.805722
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,25,     599.265605
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,26,     613.450295
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,27,     705.711604
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,28,     647.642311
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,512,29,     678.943472
