dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,0,    1343.279787
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,1,    1306.346638
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,2,    1335.256293
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,3,    1363.619151
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,4,    1421.266278
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,5,    1344.730062
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,6,    1383.130716
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,7,    1332.102741
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,8,    1367.077036
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,9,    1414.046379
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,10,    1355.345618
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,11,    1373.541610
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,12,    1296.331046
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,13,    1374.773478
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,14,    1370.215039
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,15,    1413.871694
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,16,    1369.308669
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,17,    1419.255014
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,18,    1412.679027
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,19,    1257.345169
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,20,    1319.505312
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,21,    1310.536142
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,22,    1152.460757
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,23,    1357.095146
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,24,    1325.360953
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,25,    1312.558501
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,26,    1353.694999
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,27,    1340.516535
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,28,    1400.655574
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,29,    1407.517554
