dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,0,    1215.093291
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,1,    1145.241357
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,2,    1148.704146
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,3,    1146.150478
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,4,    1146.200916
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,5,    1147.294994
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,6,    1143.899465
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,7,    1147.458726
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,8,    1144.186257
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,9,    1147.001884
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,10,    1146.732966
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,11,    1144.377490
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,12,    1143.385889
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,13,    1146.312727
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,14,    1140.730256
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,15,    1146.488739
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,16,    1146.864561
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,17,    1146.546359
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,18,    1143.607811
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,19,    1149.113621
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,20,    1145.651441
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,21,    1149.100997
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,22,    1144.733836
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,23,    1145.181475
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,24,    1147.882603
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,25,    1146.005801
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,26,    1145.538791
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,27,    1146.340713
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,28,    1147.998691
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,29,    1144.590766
