dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,0,    1267.336164
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,1,    1243.999134
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,2,    1239.821724
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,3,    1239.625870
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,4,    1243.283156
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,5,    1239.066166
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,6,    1240.337618
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,7,    1243.554679
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,8,    1236.390719
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,9,    1245.935264
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,10,    1246.461882
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,11,    1240.464663
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,12,    1238.927294
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,13,    1238.475993
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,14,    1238.765121
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,15,    1235.575272
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,16,    1240.470816
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,17,    1235.130087
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,18,    1243.399080
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,19,    1240.511290
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,20,    1238.590628
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,21,    1240.885026
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,22,    1237.748373
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,23,    1236.455955
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,24,    1245.035030
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,25,    1237.011357
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,26,    1238.596244
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,27,    1238.438209
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,28,    1242.026597
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",8,512,29,    1234.443804
