dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,0,    6281.331602
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,1,    6182.313163
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,2,    6131.667646
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,3,    6122.834999
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,4,    6115.842578
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,5,    6112.142156
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,6,    6116.076154
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,7,    6111.917274
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,8,    6114.549402
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,9,    6114.421142
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,10,    6115.250654
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,11,    6111.175430
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,12,    6111.506749
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,13,    6113.377823
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,14,    6111.992810
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,15,    6113.139870
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,16,    6112.260272
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,17,    6112.276788
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,18,    6108.359017
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,19,    6112.076380
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,20,    6109.477718
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,21,    6112.106088
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,22,    6115.568494
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,23,    6111.740204
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,24,    6112.137488
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,25,    6114.150833
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,26,    6113.175068
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,27,    6110.589289
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,28,    6113.158106
3,double,uniform,PoisFFT,"P | P | P | P | N | D",4,512,29,    6111.271841
