dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,0,    9481.226544
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,1,    9501.620548
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,2,    9499.744311
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,3,    9499.846887
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,4,    9502.173027
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,5,    9500.864493
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,6,    9496.088626
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,7,    9499.319874
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,8,    9497.198304
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,9,    9500.399504
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,10,    9496.276811
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,11,    9500.276527
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,12,    9495.930389
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,13,    9493.391174
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,14,    9497.530193
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,15,    9498.055524
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,16,    9505.961457
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,17,    9496.578640
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,18,    9500.122047
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,19,    9498.130617
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,20,    9499.447897
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,21,    9496.380797
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,22,    9501.346620
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,23,    9497.060915
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,24,    9501.912172
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,25,    9500.728014
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,26,    9495.737701
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,27,    9495.139199
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,28,    9496.295428
3,float,uniform,PoisFFT,"P | P | P | P | P | P",1,512,29,    9494.781677
