dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,0,    4695.532267
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,1,    4681.386475
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,2,    4677.620284
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,3,    4680.293445
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,4,    4674.878517
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,5,    4677.682179
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,6,    4675.541389
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,7,    4677.256355
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,8,    4675.354636
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,9,    4676.161228
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,10,    4674.750087
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,11,    4675.439463
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,12,    4677.672786
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,13,    4675.711909
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,14,    4677.805786
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,15,    4677.028361
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,16,    4679.275424
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,17,    4676.139434
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,18,    4677.477471
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,19,    4676.630312
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,20,    4677.771934
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,21,    4676.212993
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,22,    4679.344080
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,23,    4680.200905
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,24,    4680.121540
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,25,    4679.458129
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,26,    4679.987936
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,27,    4679.495259
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,28,    4681.221448
3,double,uniform,PoisFFT,"D | D | D | D | N | D",6,512,29,    4680.595246
