dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,0,     728.823428
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,1,     729.762864
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,2,     732.570817
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,3,     727.884651
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,4,     720.708325
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,5,     723.662093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,6,     723.445250
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,7,     720.295534
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,8,     730.410508
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,9,     721.682887
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,10,     713.168280
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,11,     722.718669
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,12,     714.674437
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,13,     717.679715
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,14,     725.539810
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,15,     728.269790
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,16,     732.003103
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,17,     730.191000
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,18,     821.334266
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,19,     725.581328
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,20,     731.104274
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,21,     730.512387
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,22,     721.462662
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,23,     716.226413
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,24,     730.451828
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,25,     718.810461
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,26,     734.657728
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,27,     735.296931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,28,     741.968884
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,512,29,     742.911860
