dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,0,    4790.081409
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,1,    4589.794087
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,2,    4581.135008
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,3,    4558.260833
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,4,    4557.528623
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,5,    4564.602940
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,6,    4555.389935
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,7,    4558.706259
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,8,    4558.790351
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,9,    4558.971923
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,10,    4562.625559
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,11,    4550.229838
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,12,    4553.461894
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,13,    4563.883902
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,14,    4554.328717
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,15,    4559.709387
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,16,    4558.191924
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,17,    4561.107273
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,18,    4547.484579
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,19,    4553.944397
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,20,    4550.566621
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,21,    4543.357355
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,22,    4559.892187
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,23,    4554.152230
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,24,    4545.441042
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,25,    4554.260488
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,26,    4548.593730
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,27,    4545.508085
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,28,    4549.682923
3,float,uniform,PoisFFT,"P | P | P | P | N | D",2,512,29,    4547.813867
