dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,0,    1691.943399
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,1,    1687.596349
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,2,    1687.130100
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,3,    1694.756297
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,4,    1698.465239
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,5,    1697.761033
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,6,    1698.125156
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,7,    1696.412501
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,8,    1696.813109
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,9,    1697.257649
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,10,    1697.046038
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,11,    1698.711036
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,12,    1699.066381
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,13,    1694.466728
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,14,    1693.835171
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,15,    1690.317344
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,16,    1695.937279
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,17,    1696.691952
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,18,    1696.559977
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,19,    1697.516328
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,20,    1695.877007
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,21,    1696.015627
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,22,    1689.845272
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,23,    1697.071400
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,24,    1697.674157
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,25,    1695.455948
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,26,    1697.051138
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,27,    1697.594220
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,28,    1699.042557
3,float,uniform,PoisFFT,"D | D | D | D | D | D",16,512,29,    1699.899109
