dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,0,    6797.835027
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,1,    6765.517624
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,2,    6763.262517
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,3,    6765.979764
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,4,    6763.797063
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,5,    6765.365720
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,6,    6763.938013
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,7,    6764.883889
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,8,    6763.522655
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,9,    6763.496113
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,10,    6763.899820
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,11,    6763.276515
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,12,    6763.027118
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,13,    6763.117806
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,14,    6763.080404
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,15,    6763.125849
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,16,    6762.977395
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,17,    6762.853257
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,18,    6763.800290
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,19,    6763.930330
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,20,    6762.958704
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,21,    6762.451393
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,22,    6762.219923
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,23,    6762.562015
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,24,    6763.618717
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,25,    6763.497109
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,26,    6761.879861
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,27,    6762.394944
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,28,    6762.494606
3,double,uniform,PoisFFT,"D | D | D | D | N | D",4,512,29,    6763.505771
