dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,0,    7226.048360
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,1,    6889.556045
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,2,    6869.416934
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,3,    6866.290283
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,4,    6865.036377
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,5,    6861.680830
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,6,    6867.775569
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,7,    6860.370536
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,8,    6859.951368
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,9,    6863.489869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,10,    6862.649152
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,11,    6841.491897
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,12,    6865.385193
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,13,    6865.591590
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,14,    6867.563292
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,15,    6863.534661
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,16,    6862.819844
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,17,    6862.737553
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,18,    6857.805466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,19,    6866.248092
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,20,    6860.211409
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,21,    6863.962075
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,22,    6857.143710
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,23,    6860.542856
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,24,    6862.701238
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,25,    6858.716049
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,26,    6858.039682
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,27,    6863.313745
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,28,    6860.389395
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,512,29,    6860.146310
