dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,0,    1062.736273
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,1,     700.664101
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,2,     645.521124
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,3,     689.636621
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,4,     713.390208
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,5,     669.425246
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,6,     650.534983
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,7,     646.193826
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,8,     657.548674
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,9,     688.285523
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,10,     712.239022
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,11,     651.489349
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,12,     674.492920
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,13,     623.487779
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,14,     721.727677
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,15,     691.720379
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,16,     678.791869
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,17,     692.210023
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,18,     693.083477
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,19,     665.935622
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,20,     687.712745
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,21,     685.479901
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,22,     680.671156
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,23,     685.893711
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,24,     691.152969
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,25,     691.754698
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,26,     654.703441
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,27,     689.214825
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,28,     695.915305
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",48,512,29,     694.839502
