dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,0,     849.588003
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,1,     735.798408
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,2,     748.530549
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,3,     754.463689
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,4,     736.334780
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,5,     757.182161
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,6,     699.832984
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,7,     651.069728
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,8,     817.168460
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,9,     753.506754
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,10,     744.050818
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,11,     868.433849
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,12,     709.364626
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,13,     749.516538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,14,     754.105970
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,15,     734.013799
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,16,     742.222047
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,17,     745.600554
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,18,     750.270338
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,19,     748.233938
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,20,     847.929329
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,21,     757.115125
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,22,     649.257223
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,23,     742.646788
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,24,     848.134673
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,25,     757.919762
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,26,     774.239663
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,27,     747.218104
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,28,     726.605903
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",64,512,29,     733.315415
