dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,0,    1796.882502
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,1,    1766.647263
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,2,    1810.132235
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,3,    1798.045845
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,4,    1766.485232
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,5,    1818.637747
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,6,    1808.000320
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,7,    1811.385462
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,8,    1778.497044
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,9,    1785.651119
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,10,    1779.498395
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,11,    1774.865726
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,12,    1779.850996
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,13,    1791.166716
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,14,    1772.275560
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,15,    1781.301362
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,16,    1792.867074
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,17,    1778.955654
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,18,    1780.900456
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,19,    1804.185641
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,20,    1806.401043
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,21,    1765.272269
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,22,    1771.441961
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,23,    1777.735174
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,24,    1754.689189
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,25,    1791.240960
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,26,    1782.315826
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,27,    1783.472835
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,28,    1805.857384
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,512,29,    1799.645354
