dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,0,    1275.031194
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,1,    1248.717615
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,2,    1248.932867
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,3,    1246.076642
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,4,    1246.908390
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,5,    1246.315830
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,6,    1251.300089
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,7,    1248.114017
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,8,    1247.542479
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,9,    1244.191609
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,10,    1252.905286
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,11,    1239.791380
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,12,    1249.640339
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,13,    1248.984435
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,14,    1251.460083
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,15,    1250.172793
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,16,    1249.226461
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,17,    1249.629598
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,18,    1251.779916
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,19,    1248.474966
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,20,    1253.332274
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,21,    1248.303642
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,22,    1250.371941
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,23,    1241.734634
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,24,    1246.618253
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,25,    1245.801549
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,26,    1249.046150
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,27,    1240.646412
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,28,    1248.240012
3,float,uniform,PoisFFT,"P | P | P | P | D | N",8,512,29,    1247.955683
