dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,0,    4609.038349
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,1,    4496.056079
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,2,    4497.589607
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,3,    4484.505898
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,4,    4490.945106
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,5,    4483.732381
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,6,    4495.070517
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,7,    4483.985361
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,8,    4502.262595
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,9,    4533.020629
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,10,    4511.797008
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,11,    4491.128281
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,12,    4487.116788
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,13,    4480.067944
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,14,    4479.734742
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,15,    4485.616208
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,16,    4483.131358
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,17,    4481.578478
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,18,    4482.960557
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,19,    4478.654164
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,20,    4482.087376
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,21,    4482.712202
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,22,    4485.458861
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,23,    4483.361758
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,24,    4482.757461
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,25,    4480.601109
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,26,    4480.413480
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,27,    4481.864526
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,28,    4481.290312
3,float,uniform,PoisFFT,"P | P | P | P | D | N",4,512,29,    4481.170145
