dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,0,     629.361491
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,1,     606.537792
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,2,     607.274750
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,3,     607.893171
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,4,     605.165159
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,5,     606.143449
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,6,     606.497120
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,7,     610.621859
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,8,     608.553899
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,9,     605.821945
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,10,     603.650984
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,11,     607.902736
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,12,     610.051899
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,13,     605.419379
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,14,     605.501924
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,15,     607.774288
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,16,     607.512280
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,17,     607.758600
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,18,     606.268535
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,19,     610.298748
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,20,     605.057330
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,21,     607.596082
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,22,     605.630177
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,23,     606.858885
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,24,     605.995665
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,25,     604.446960
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,26,     607.000085
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,27,     606.959946
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,28,     605.392184
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,512,29,     605.874535
