dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,0,    1373.685318
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,1,    1361.684533
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,2,    1426.438473
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,3,    1432.461297
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,4,    1412.010562
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,5,    1390.634921
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,6,    1334.954744
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,7,    1402.275070
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,8,    1414.123158
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,9,    1399.203037
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,10,    1397.522151
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,11,    1409.473606
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,12,    1328.140314
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,13,    1428.791823
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,14,    1421.150908
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,15,    1440.563576
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,16,    1423.102326
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,17,    1436.006636
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,18,    1394.443485
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,19,    1364.978263
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,20,    1404.955607
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,21,    1439.078190
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,22,    1392.846884
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,23,    1393.992299
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,24,    1388.317511
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,25,    1318.386888
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,26,    1467.754958
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,27,    1416.019835
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,28,    1410.851265
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,512,29,    1388.414191
