dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,0,     784.153298
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,1,     772.872456
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,2,     779.062155
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,3,     779.571707
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,4,     794.408674
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,5,     798.453878
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,6,     778.966819
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,7,     791.516769
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,8,     782.116514
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,9,     780.347029
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,10,     782.006589
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,11,     769.731705
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,12,     788.248265
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,13,     782.297746
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,14,     778.342597
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,15,     774.935333
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,16,     790.368294
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,17,     778.090018
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,18,     788.498928
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,19,     790.809909
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,20,     771.952417
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,21,     786.007632
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,22,     785.075600
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,23,     774.922705
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,24,     786.967012
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,25,     802.512492
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,26,     781.600869
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,27,     796.818042
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,28,     778.906677
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,512,29,     786.910319
