dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,0,     834.848184
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,1,     796.510613
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,2,     790.402510
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,3,     782.726236
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,4,     778.243955
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,5,     795.619509
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,6,     790.701339
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,7,     743.392362
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,8,     747.793422
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,9,     791.885950
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,10,     794.629080
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,11,     746.236108
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,12,     795.778700
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,13,     796.341696
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,14,     733.529021
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,15,     808.602327
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,16,     790.459584
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,17,     798.807617
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,18,     808.206004
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,19,     798.331758
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,20,     786.336207
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,21,     814.066102
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,22,     799.906923
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,23,     810.930257
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,24,     776.463078
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,25,     806.808581
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,26,     806.526049
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,27,     820.251389
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,28,     804.962801
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,29,     794.160740
