dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,0,    9403.563552
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,1,    9412.173843
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,2,    9406.819899
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,3,    9411.233751
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,4,    9404.210146
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,5,    9410.068487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,6,    9411.157321
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,7,    9407.907405
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,8,    9407.745247
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,9,    9413.023608
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,10,    9412.968578
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,11,    9406.751195
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,12,    9415.672997
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,13,    9408.460349
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,14,    9404.843569
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,15,    9405.131616
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,16,    9410.596566
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,17,    9414.786414
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,18,    9409.178984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,19,    9409.720270
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,20,    9422.966296
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,21,    9409.437355
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,22,    9412.341910
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,23,    9413.521263
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,24,    9407.258445
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,25,    9413.372990
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,26,    9413.715749
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,27,    9411.781667
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,28,    9410.214442
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,512,29,    9410.481207
