dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,0,    9462.210974
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,1,    9471.429569
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,2,    9474.161319
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,3,    9476.681823
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,4,    9471.669349
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,5,    9469.200509
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,6,    9466.129772
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,7,    9467.555753
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,8,    9473.333189
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,9,    9468.535349
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,10,    9474.117968
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,11,    9466.381906
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,12,    9470.246780
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,13,    9476.361797
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,14,    9470.497159
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,15,    9466.377821
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,16,    9470.063458
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,17,    9462.606897
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,18,    9471.626811
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,19,    9463.947330
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,20,    9460.152524
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,21,    9470.113919
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,22,    9466.448249
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,23,    9464.217936
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,24,    9465.207762
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,25,    9469.121687
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,26,    9467.381065
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,27,    9468.781266
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,28,    9470.279124
3,float,uniform,PoisFFT,"P | P | P | P | D | N",1,512,29,    9468.496496
