dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,0,    2471.391117
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,1,    2376.431272
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,2,    2360.826960
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,3,    2363.620547
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,4,    2362.289488
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,5,    2355.552512
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,6,    2352.356074
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,7,    2353.081729
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,8,    2346.150153
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,9,    2346.093558
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,10,    2346.062047
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,11,    2348.929637
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,12,    2346.121268
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,13,    2347.084240
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,14,    2346.145059
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,15,    2346.525666
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,16,    2344.213148
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,17,    2347.670405
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,18,    2344.540096
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,19,    2345.005827
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,20,    2344.207013
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,21,    2343.554330
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,22,    2344.272027
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,23,    2341.023338
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,24,    2339.746012
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,25,    2342.007476
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,26,    2346.044954
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,27,    2350.482790
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,28,    2344.812733
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,512,29,    2350.591907
