dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,0,     714.701657
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,1,     726.070737
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,2,     768.198915
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,3,     733.164350
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,4,     744.223609
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,5,     747.785423
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,6,     743.070970
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,7,     746.906911
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,8,     768.192510
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,9,     694.870692
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,10,     736.879711
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,11,     661.172787
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,12,     603.738316
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,13,     698.051536
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,14,     677.100470
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,15,     778.970831
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,16,     691.168367
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,17,     600.429246
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,18,     645.606306
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,19,     627.775405
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,20,     697.711291
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,21,     782.162344
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,22,     789.013881
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,23,     596.033222
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,24,     672.162741
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,25,     792.069577
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,26,     785.499410
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,27,     595.673838
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,28,     798.698166
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,512,29,     644.049034
