dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,0,    1471.472547
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,1,    1383.476839
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,2,    1389.913284
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,3,    1367.197089
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,4,    1386.670405
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,5,    1281.559723
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,6,    1429.136339
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,7,    1238.561938
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,8,    1512.240515
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,9,    1482.953154
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,10,    1444.885427
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,11,    1451.945354
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,12,    1472.128082
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,13,    1267.960597
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,14,    1477.720378
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,15,    1282.015338
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,16,    1320.409612
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,17,    1407.379965
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,18,    1487.172398
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,19,    1455.511855
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,20,    1435.517233
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,21,    1609.687854
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,22,    1415.087858
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,23,    1467.067286
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,24,    1459.542623
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,25,    1218.017026
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,26,    1346.481487
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,27,    1480.922433
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,28,    1428.356328
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",48,512,29,    1272.728460
