dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,0,   10463.906026
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,1,   10437.486766
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,2,   10438.591307
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,3,   10432.024856
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,4,   10433.560980
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,5,   10432.316155
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,6,   10439.040827
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,7,   10439.323330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,8,   10434.408229
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,9,   10436.127462
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,10,   10432.967494
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,11,   10432.902398
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,12,   10432.067457
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,13,   10434.379432
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,14,   10429.933820
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,15,   10430.500109
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,16,   10431.933611
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,17,   10432.154467
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,18,   10436.948454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,19,   10432.173633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,20,   10430.108654
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,21,   10434.805964
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,22,   10433.854057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,23,   10429.841841
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,24,   10430.020098
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,25,   10429.516728
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,26,   10431.682830
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,27,   10431.299971
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,28,   10431.479942
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,512,29,   10430.922967
