dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,0,     737.535185
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,1,     653.129425
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,2,     649.555440
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,3,     633.818923
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,4,     642.746523
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,5,     643.508150
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,6,     699.828530
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,7,     652.371412
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,8,     660.319412
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,9,     682.555526
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,10,     689.547378
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,11,     651.105296
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,12,     674.907526
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,13,     959.949544
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,14,     652.422727
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,15,     646.298467
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,16,     650.282271
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,17,     670.372172
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,18,     702.283190
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,19,     682.582160
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,20,     695.254080
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,21,     700.355670
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,22,     692.491930
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,23,     729.491203
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,24,     692.322159
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,25,     696.870054
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,26,     690.096465
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,27,     729.672059
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,28,     702.424292
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",64,512,29,     722.300376
