dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,0,    4096.829921
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,1,    4096.914009
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,2,    4105.240796
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,3,    4105.237494
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,4,    4103.353348
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,5,    4099.309111
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,6,    4101.791196
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,7,    4102.445432
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,8,    4101.294127
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,9,    4092.091986
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,10,    4104.596310
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,11,    4101.049034
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,12,    4101.042273
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,13,    4105.375295
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,14,    4102.401415
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,15,    4103.983670
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,16,    4100.588144
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,17,    4106.571277
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,18,    4094.995082
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,19,    4099.765294
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,20,    4101.631478
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,21,    4102.810486
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,22,    4100.191456
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,23,    4095.203798
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,24,    4098.121274
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,25,    4097.900951
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,26,    4099.802550
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,27,    4102.599048
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,28,    4097.341186
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,512,29,    4106.545507
