dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,0,    5889.542790
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,1,    5803.021331
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,2,    5807.206479
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,3,    5800.922655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,4,    5803.530623
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,5,    5798.219476
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,6,    5799.236322
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,7,    5797.308279
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,8,    5804.999231
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,9,    5802.838044
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,10,    5794.315849
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,11,    5795.112636
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,12,    5961.497858
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,13,    5809.083521
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,14,    5798.559594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,15,    5805.843370
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,16,    5800.751039
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,17,    5802.616099
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,18,    5800.935884
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,19,    5799.347571
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,20,    5800.942709
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,21,    5811.548437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,22,    5813.293272
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,23,    5796.732354
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,24,    5802.872972
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,25,    5798.055335
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,26,    5802.533696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,27,    5804.415153
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,28,    5798.872771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,512,29,    5806.071176
