dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,0,    1513.313615
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,1,    1509.249597
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,2,    1521.487158
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,3,    1526.445513
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,4,    1517.878290
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,5,    1535.647206
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,6,    1505.360274
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,7,    1488.020144
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,8,    1486.041304
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,9,    1479.518307
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,10,    1517.294117
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,11,    1504.139078
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,12,    1500.160891
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,13,    1521.136728
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,14,    1486.624008
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,15,    1524.664045
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,16,    1529.149066
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,17,    1510.292078
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,18,    1488.094656
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,19,    1539.464228
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,20,    1473.667103
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,21,    1502.585816
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,22,    1501.853732
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,23,    1508.326969
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,24,    1521.323080
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,25,    1524.246432
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,26,    1504.541283
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,27,    1500.561317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,28,    1519.656937
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",48,512,29,    1495.624215
