dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,0,    6133.440250
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,1,    5662.513187
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,2,    5675.557321
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,3,    5648.705164
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,4,    5668.047536
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,5,    5650.348888
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,6,    5660.906676
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,7,    5642.408947
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,8,    5642.632026
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,9,    5655.822826
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,10,    5655.931181
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,11,    5649.279642
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,12,    5631.241300
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,13,    5670.235364
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,14,    5655.127909
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,15,    5676.597418
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,16,    5646.240106
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,17,    5682.825888
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,18,    5656.305784
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,19,    5658.888360
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,20,    5653.810275
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,21,    5653.184050
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,22,    5660.008986
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,23,    5666.141056
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,24,    5669.697315
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,25,    5668.823637
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,26,    5664.753196
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,27,    5668.793108
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,28,    5670.540905
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",2,512,29,    5657.668101
