dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,0,    4637.174430
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,1,    4579.963823
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,2,    4570.334301
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,3,    4582.863831
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,4,    4575.445065
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,5,    4574.479120
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,6,    4583.975918
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,7,    4579.131000
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,8,    4581.876624
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,9,    4572.519771
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,10,    4574.258992
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,11,    4585.668570
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,12,    4575.105220
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,13,    4576.589939
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,14,    4573.452494
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,15,    4576.831874
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,16,    4562.933934
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,17,    4575.992994
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,18,    4587.627483
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,19,    4568.685137
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,20,    4565.352745
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,21,    4570.532732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,22,    4585.961216
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,23,    4589.463725
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,24,    4585.080058
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,25,    4584.345739
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,26,    4569.769088
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,27,    4570.961861
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,28,    4581.179840
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,512,29,    4570.192629
