dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,0,    1815.996645
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,1,    1688.212274
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,2,    1690.718046
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,3,    1688.121768
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,4,    1684.338999
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,5,    1676.757575
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,6,    1683.770778
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,7,    1681.592307
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,8,    1684.835249
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,9,    1683.098300
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,10,    1681.771556
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,11,    1683.355810
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,12,    1681.154162
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,13,    1682.439389
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,14,    1685.442084
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,15,    1679.949568
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,16,    1686.565222
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,17,    1684.849001
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,18,    1682.766012
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,19,    1679.490368
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,20,    1678.440413
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,21,    1680.927849
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,22,    1681.148808
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,23,    1681.058272
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,24,    1679.453174
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,25,    1682.219470
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,26,    1682.355874
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,27,    1682.545079
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,28,    1681.593598
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",8,512,29,    1681.409852
