dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,0,    4211.771803
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,1,    4207.680552
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,2,    4206.987959
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,3,    4209.319581
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,4,    4205.730025
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,5,    4208.599813
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,6,    4205.650345
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,7,    4206.898781
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,8,    4205.845886
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,9,    4205.523384
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,10,    4206.329292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,11,    4205.798091
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,12,    4205.581668
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,13,    4205.742490
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,14,    4205.209839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,15,    4205.635610
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,16,    4206.035784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,17,    4206.147930
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,18,    4205.437288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,19,    4205.928176
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,20,    4205.556334
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,21,    4205.390916
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,22,    4205.842663
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,23,    4205.942579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,24,    4204.932885
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,25,    4205.182393
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,26,    4205.635647
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,27,    4205.426667
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,28,    4205.229154
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",4,512,29,    4206.188757
