dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,0,    2763.706288
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,1,    2769.395920
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,2,    2863.290356
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,3,    2761.003079
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,4,    2681.459476
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,5,    2703.809799
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,6,    2738.765368
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,7,    2742.692296
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,8,    2764.614480
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,9,    2772.844575
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,10,    2646.983528
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,11,    2718.277384
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,12,    2833.966120
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,13,    2653.947078
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,14,    2732.158449
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,15,    2700.610643
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,16,    2833.093260
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,17,    2741.844129
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,18,    2684.195915
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,19,    2742.668674
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,20,    2698.455276
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,21,    2735.379699
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,22,    2648.294710
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,23,    2761.585891
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,24,    2757.462720
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,25,    2720.441831
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,26,    2738.472687
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,27,    2771.993201
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,28,    2733.182364
3,double,uniform,PoisFFT,"P | P | P | P | P | P",64,512,29,    2659.738193
