dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,0,    6273.331719
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,1,    6077.218820
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,2,    6079.804915
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,3,    6077.854098
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,4,    6080.333847
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,5,    6072.335238
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,6,    6077.928441
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,7,    6124.474507
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,8,    6079.099640
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,9,    6085.469212
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,10,    6090.287129
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,11,    6080.655373
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,12,    6074.388544
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,13,    6072.907776
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,14,    6076.109951
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,15,    6072.904160
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,16,    6072.353928
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,17,    6072.059281
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,18,    6071.095893
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,19,    6070.681584
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,20,    6074.259741
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,21,    6075.908516
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,22,    6073.008704
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,23,    6145.487221
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,24,    6088.726240
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,25,    6068.530162
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,26,    6066.433588
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,27,    6069.853556
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,28,    6062.389534
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",4,512,29,    6060.219417
