dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,0,    1287.939329
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,1,    1262.194794
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,2,    1252.407475
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,3,    1251.876388
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,4,    1256.279138
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,5,    1248.678793
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,6,    1253.416119
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,7,    1255.286016
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,8,    1260.562360
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,9,    1255.166701
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,10,    1251.255750
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,11,    1250.998967
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,12,    1250.439793
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,13,    1257.344472
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,14,    1254.374989
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,15,    1260.574903
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,16,    1249.233587
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,17,    1251.584704
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,18,    1251.183405
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,19,    1254.562153
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,20,    1257.436504
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,21,    1251.259805
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,22,    1253.029599
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,23,    1255.389955
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,24,    1251.342567
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,25,    1252.556511
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,26,    1256.162571
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,27,    1254.775370
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,28,    1253.083181
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,512,29,    1251.517446
