dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,0,    2269.725099
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,1,    2221.565732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,2,    2214.889500
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,3,    2210.515821
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,4,    2209.183395
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,5,    2209.253257
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,6,    2205.507918
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,7,    2208.002534
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,8,    2201.888956
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,9,    2202.743304
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,10,    2207.633432
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,11,    2207.815705
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,12,    2205.217311
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,13,    2207.534161
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,14,    2205.269561
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,15,    2211.608091
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,16,    2203.258814
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,17,    2204.739702
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,18,    2204.561943
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,19,    2208.120721
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,20,    2203.239130
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,21,    2203.784144
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,22,    2208.872007
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,23,    2204.808804
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,24,    2209.073108
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,25,    2205.956918
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,26,    2207.988275
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,27,    2206.456727
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,28,    2211.511872
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",6,512,29,    2209.328807
