dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,0,    1867.291827
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,1,    1805.465179
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,2,    1800.625121
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,3,    1804.237672
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,4,    1797.362087
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,5,    1799.958850
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,6,    1805.620159
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,7,    1802.779022
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,8,    1801.950817
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,9,    1799.477734
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,10,    1801.417268
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,11,    1802.677317
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,12,    1801.293274
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,13,    1800.390732
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,14,    1799.547590
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,15,    1799.907787
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,16,    1800.343424
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,17,    1799.193803
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,18,    1798.260233
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,19,    1800.687682
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,20,    1803.144547
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,21,    1799.812701
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,22,    1800.483699
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,23,    1804.123826
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,24,    1800.011367
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,25,    1800.590406
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,26,    1799.380679
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,27,    1800.761950
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,28,    1799.061058
3,double,uniform,PoisFFT,"P | P | P | P | D | N",8,512,29,    1799.037790
