dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,0,     704.885660
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,1,     737.167334
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,2,     706.571811
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,3,     698.452880
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,4,     793.127852
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,5,     790.351138
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,6,     709.640827
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,7,     700.561825
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,8,     810.075758
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,9,     711.907439
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,10,     698.627064
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,11,     705.084063
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,12,     693.579099
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,13,     789.434928
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,14,     703.919637
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,15,     802.537171
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,16,     699.172585
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,17,     717.669422
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,18,     704.744926
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,19,     785.852629
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,20,     706.257852
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,21,     708.540908
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,22,     703.405727
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,23,     704.638517
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,24,     706.683198
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,25,     876.518660
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,26,     702.434522
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,27,     711.495913
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,28,     694.989348
3,float,uniform,PoisFFT,"P | P | P | P | D | N",64,512,29,     716.335304
