dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,0,    5469.863308
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,1,    5461.726323
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,2,    5454.986228
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,3,    5479.092909
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,4,    5457.308843
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,5,    5461.707785
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,6,    5451.135779
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,7,    5457.737534
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,8,    5457.556155
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,9,    5447.018863
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,10,    5452.772527
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,11,    5453.243487
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,12,    5461.324780
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,13,    5471.287631
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,14,    5453.302002
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,15,    5443.606153
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,16,    5463.084317
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,17,    5454.494119
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,18,    5450.202495
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,19,    5456.622163
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,20,    5493.587174
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,21,    5452.093364
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,22,    5459.297545
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,23,    5451.866850
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,24,    5459.246889
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,25,    5457.526556
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,26,    5456.498259
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,27,    5463.993170
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,28,    5464.214183
3,float,uniform,PoisFFT,"P | P | P | P | P | P",2,512,29,    5446.835014
