dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,0,    1232.669869
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,1,    1236.554210
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,2,    1237.657461
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,3,    1245.625767
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,4,    1227.859635
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,5,    1228.306015
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,6,    1245.356027
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,7,    1228.822686
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,8,    1222.879434
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,9,    1223.517532
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,10,    1222.595228
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,11,    1229.016180
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,12,    1236.733322
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,13,    1225.573910
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,14,    1226.217671
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,15,    1228.640657
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,16,    1224.128965
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,17,    1239.351118
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,18,    1225.052859
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,19,    1238.336615
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,20,    1236.486942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,21,    1243.930369
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,22,    1231.629207
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,23,    1223.566683
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,24,    1222.946888
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,25,    1226.247689
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,26,    1231.099871
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,27,    1231.691643
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,28,    1231.528962
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,512,29,    1246.920006
