dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,0,     639.519032
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,1,     593.960990
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,2,     592.996834
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,3,     589.605439
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,4,     591.213943
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,5,     591.122112
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,6,     590.385910
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,7,     588.553770
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,8,     591.449825
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,9,     592.993742
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,10,     590.588998
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,11,     591.226857
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,12,     589.610431
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,13,     592.466052
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,14,     592.891461
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,15,     590.323017
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,16,     591.069677
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,17,     590.867215
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,18,     591.776695
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,19,     591.005559
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,20,     590.785570
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,21,     591.336880
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,22,     587.237385
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,23,     592.777572
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,24,     593.074489
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,25,     590.708255
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,26,     593.914783
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,27,     590.574552
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,28,     590.062441
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",32,512,29,     590.056510
