dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,0,    1280.885025
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,1,    1279.531538
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,2,    1279.289491
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,3,    1282.902341
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,4,    1274.774369
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,5,    1280.001318
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,6,    1278.284694
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,7,    1279.470860
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,8,    1280.857156
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,9,    1281.015131
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,10,    1280.538332
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,11,    1281.215596
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,12,    1281.542702
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,13,    1281.408882
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,14,    1278.483426
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,15,    1278.749641
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,16,    1279.376696
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,17,    1279.463391
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,18,    1280.642874
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,19,    1279.004373
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,20,    1279.949169
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,21,    1280.011086
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,22,    1280.747401
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,23,    1281.550726
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,24,    1280.341981
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,25,    1279.856560
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,26,    1278.651170
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,27,    1281.501932
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,28,    1281.460895
3,double,uniform,PoisFFT,"D | D | D | D | D | D",32,512,29,    1279.311903
