dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,0,     684.453927
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,1,     720.855231
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,2,     716.273672
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,3,     735.055890
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,4,     705.703408
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,5,     728.227361
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,6,     697.302793
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,7,     725.694746
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,8,     726.155884
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,9,     723.540656
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,10,     741.758943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,11,     716.880705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,12,     748.578025
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,13,     739.388847
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,14,     724.708602
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,15,     709.544227
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,16,     730.761658
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,17,     741.623018
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,18,     699.146128
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,19,     713.758488
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,20,     709.304311
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,21,     716.277371
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,22,     719.859984
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,23,     687.635179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,24,     698.505539
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,25,     745.173966
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,26,     719.947112
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,27,     699.595201
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,28,     692.114931
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",64,512,29,     721.084604
