dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,0,    1028.773789
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,1,    1003.705629
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,2,     997.192232
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,3,     994.777001
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,4,    1000.024625
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,5,    1000.166151
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,6,     999.843566
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,7,     999.468109
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,8,     997.150500
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,9,     996.382855
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,10,     997.990097
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,11,     994.065883
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,12,     996.372378
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,13,    1000.455212
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,14,    1000.815042
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,15,     997.504826
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,16,     999.970999
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,17,     994.527018
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,18,     997.495081
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,19,    1000.939035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,20,     994.481708
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,21,     996.232782
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,22,    1000.377655
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,23,    1000.553508
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,24,     999.991193
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,25,     999.029521
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,26,     999.708561
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,27,     998.764716
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,28,     998.960665
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",16,512,29,     996.258347
